LanguageSkid,ChorusSkid,SentenceSequenceNbr,SentenceSkid
1,155,1,3962
1,155,2,3963
1,155,3,3964
1,155,4,3965
1,156,1,3962
1,156,2,3963
1,156,3,3964
1,156,4,3965
1,157,1,3962
1,157,2,3963
1,157,3,3964
1,157,4,3965
1,158,1,3962
1,158,2,3963
1,158,3,3964
1,158,4,3965
1,160,1,4590
1,160,2,4591
1,160,3,4592
1,161,1,4590
1,161,2,4591
1,161,3,4592
1,162,1,4590
1,162,2,4591
1,162,3,4592
1,163,1,4590
1,163,2,4591
1,163,3,4592
1,164,1,4590
1,164,2,4591
1,164,3,4592
1,165,1,4590
1,165,2,4591
1,165,3,4592
1,166,1,4590
1,166,2,4591
1,166,3,4592
1,167,1,4658
1,167,2,4659
1,167,3,4660
1,167,4,4661
1,168,1,4658
1,168,2,4659
1,168,3,4660
1,168,4,4661
1,169,1,4658
1,169,2,4659
1,169,3,4660
1,169,4,4661
1,170,1,4716
1,170,2,4713
1,170,3,4717
1,170,4,4715
1,171,1,4716
1,171,2,4713
1,171,3,4717
1,171,4,4715
1,172,1,4716
1,172,2,4713
1,172,3,4717
1,172,4,4715
1,176,1,4879
1,176,2,4880
1,176,3,4881
1,176,4,4882
1,177,1,4879
1,177,2,4880
1,177,3,4881
1,177,4,4882
1,178,1,4879
1,178,2,4880
1,178,3,4881
1,178,4,4882
1,179,1,4879
1,179,2,4880
1,179,3,4881
1,179,4,4882
1,180,1,5092
1,180,2,5093
1,181,1,5092
1,181,2,5093
1,182,1,5092
1,182,2,5093
1,183,1,5092
1,183,2,5093
1,188,1,5290
1,188,2,5291
1,188,3,5290
1,188,4,5292
1,189,1,5290
1,189,2,5291
1,189,3,5290
1,189,4,5292
1,190,1,5290
1,190,2,5291
1,190,3,5290
1,190,4,5292
1,191,1,5290
1,191,2,5291
1,191,3,5290
1,191,4,5292
1,192,1,5290
1,192,2,5291
1,192,3,5290
1,192,4,5292
1,193,1,5290
1,193,2,5291
1,193,3,5290
1,193,4,5292
1,194,1,5344
1,194,2,5345
1,194,3,5346
1,195,1,5344
1,195,2,5345
1,195,3,5346
1,196,1,5344
1,196,2,5345
1,196,3,5346
1,197,1,5344
1,197,2,5345
1,197,3,5346
1,198,1,5344
1,198,2,5345
1,198,3,5346
1,199,1,5533
1,199,2,5535
1,200,1,5533
1,200,2,5535
1,201,1,5533
1,201,2,5535
1,202,1,5533
1,202,2,5535
1,206,1,5835
1,206,2,5836
1,206,3,5835
1,206,4,5837
1,207,1,5835
1,207,2,5836
1,207,3,5835
1,207,4,5837
1,208,1,5835
1,208,2,5836
1,208,3,5835
1,208,4,5837
1,209,1,5835
1,209,2,5836
1,209,3,5835
1,209,4,5837
1,213,1,6066
1,213,2,6067
1,214,1,6066
1,214,2,6067
1,215,1,6066
1,215,2,6067
1,216,1,6082
1,216,2,6083
1,217,1,6082
1,217,2,6083
1,218,1,6082
1,218,2,6083
1,219,1,6110
1,219,2,6111
1,219,3,6112
1,219,4,6113
1,220,1,6110
1,220,2,6111
1,220,3,6112
1,220,4,6113
1,221,1,6110
1,221,2,6111
1,221,3,6112
1,221,4,6113
1,225,1,6161
1,225,2,6162
1,225,3,6163
1,225,4,6164
1,226,1,6161
1,226,2,6162
1,226,3,6163
1,226,4,6164
1,227,1,6161
1,227,2,6162
1,227,3,6163
1,227,4,6164
1,228,1,6161
1,228,2,6162
1,228,3,6163
1,228,4,6164
1,229,1,6194
1,229,2,6195
1,230,1,6194
1,230,2,6195
1,231,1,6194
1,231,2,6195
1,232,1,6220
1,232,2,6221
1,232,3,6222
1,232,4,6223
1,233,1,6220
1,233,2,6221
1,233,3,6222
1,233,4,6223
1,234,1,6220
1,234,2,6221
1,234,3,6222
1,234,4,6223
1,235,1,6676
1,235,2,6677
1,235,3,6678
1,235,4,6679
1,236,1,6676
1,236,2,6677
1,236,3,6678
1,236,4,6679
1,237,1,6676
1,237,2,6677
1,237,3,6678
1,237,4,6679
1,241,1,6814
1,241,2,6815
1,242,1,6814
1,242,2,6815
1,243,1,6814
1,243,2,6815
1,244,1,6814
1,244,2,6815
1,245,1,6836
1,245,2,6837
1,246,1,6836
1,246,2,6837
1,247,1,6836
1,247,2,6837
1,248,1,6836
1,248,2,6837
1,252,1,6986
1,252,2,6987
1,252,3,6988
1,252,4,6989
1,253,1,6986
1,253,2,6987
1,253,3,6988
1,253,4,6989
1,254,1,6986
1,254,2,6987
1,254,3,6988
1,254,4,6989
1,255,1,7064
1,255,2,7065
1,256,1,7064
1,256,2,7065
1,257,1,7064
1,257,2,7065
1,258,1,7064
1,258,2,7065
1,259,1,7064
1,259,2,7065
1,263,1,7192
1,263,2,7193
1,264,1,7192
1,264,2,7193
1,265,1,7192
1,265,2,7193
1,266,1,7192
1,266,2,7193
1,267,1,7192
1,267,2,7193
1,272,1,7298
1,272,2,7299
1,272,3,7300
1,272,4,7301
1,273,1,7298
1,273,2,7299
1,273,3,7300
1,273,4,7301
1,274,1,7298
